Date,Mkt-RF,SMB,HML,RMW,CMA,RF
19691201,-2.63,-3.7,-3.02,2.47,-2.04,0.64
19700101,-8.1,3.09,3.04,-1.77,3.92,0.6
19700201,5.13,-2.58,4.04,-2.28,3.06,0.62
19700301,-1.06,-2.4,4.25,-0.87,4.43,0.57
19700401,-11,-6.3,6.39,-0.64,5.88,0.5
19700501,-6.92,-4.42,3.6,-1.3,3.62,0.53
19700601,-5.79,-2.17,0.87,0.19,2.9,0.58
19700701,6.93,-0.69,0.96,-0.07,1.9,0.52
19700801,4.49,1.54,1.03,0.57,-0.15,0.53
19700901,4.18,8.49,-5.58,0.24,-5.93,0.54
19701001,-2.28,-4.5,0.27,1.83,2.38,0.46
19701101,4.59,-4,1.63,1.75,1.59,0.46
19701201,5.72,3.02,1.01,0.14,0.28,0.42
19710101,4.84,7.54,1.38,-2.19,-0.14,0.38
19710201,1.41,2.05,-1.29,0.65,-0.72,0.33
19710301,4.13,2.15,-4.04,1.97,-2.69,0.3
19710401,3.15,-0.37,0.72,-1.56,0.72,0.28
19710501,-3.98,-1.17,-1.38,1.46,0.3,0.29
19710601,-0.1,-1.45,-2.06,1.52,-1.74,0.37
19710701,-4.5,-1.41,0.17,0.48,1.62,0.4
19710801,3.79,-0.18,2.67,-0.34,2.6,0.47
19710901,-0.85,0.19,-2.96,2.59,-1.56,0.37
19711001,-4.42,-1.65,-0.43,1.48,-1.24,0.37
19711101,-0.46,-2.9,-1.7,2.45,-0.36,0.37
19711201,8.71,3.27,-0.35,-0.43,-1.83,0.37
19720101,2.49,6.33,1.99,-1.48,0.29,0.29
19720201,2.87,0.96,-2.76,1.65,-0.52,0.25
19720301,0.63,-0.49,-1.73,1.58,-0.19,0.27
19720401,0.29,0.15,0.23,-0.59,-0.89,0.29
19720501,1.25,-3.15,-2.69,2.33,-1.85,0.3
19720601,-2.43,-0.35,-2.51,1.75,-0.36,0.29
19720701,-0.8,-2.74,0.78,1.08,-0.59,0.31
19720801,3.26,-3.53,4.69,-2.02,2.95,0.29
19720901,-1.14,-2.25,0.47,1.67,-1.98,0.34
19721001,0.52,-2.53,1.37,-0.12,-0.05,0.4
19721101,4.6,-0.53,4.76,-1.98,3.35,0.37
19721201,0.62,-1.82,-2.27,2.6,-2.2,0.37
19730101,-3.29,-2.79,2.68,0.4,0.92,0.44
19730201,-4.85,-4.01,1.7,-0.34,-0.01,0.41
19730301,-1.3,-2.31,2.78,-1.07,0.73,0.46
19730401,-5.68,-3,5.69,-1.63,2.71,0.52
19730501,-2.94,-5.98,0.21,2.02,-1.79,0.51
19730601,-1.56,-2.54,1.44,-0.27,0.22,0.51
19730701,5.05,7.25,-5.31,-0.1,-3.45,0.64
19730801,-3.82,-1.75,1.14,-1.36,1.2,0.7
19730901,4.75,3.54,2.18,-2.3,1.82,0.68
19731001,-0.83,-0.26,1.74,-1.94,2.59,0.65
19731101,-12.75,-7.25,4.04,-2.71,1.49,0.56
19731201,0.61,-4.6,4.09,-2.8,2.3,0.64
19740101,-0.17,10.41,5.99,-3.01,4.47,0.63
19740201,-0.47,0.16,2.54,-1.93,2.67,0.58
19740301,-2.81,2.64,-0.11,2.82,0.36,0.56
19740401,-5.29,-0.63,1.06,2.86,1.85,0.75
19740501,-4.68,-3.17,-2.04,5.08,0,0.75
19740601,-2.83,-0.02,0.79,0.62,3.06,0.6
19740701,-8.05,1.99,5.14,-3.26,4.58,0.7
19740801,-9.35,0.3,2.5,-0.26,2.55,0.6
19740901,-11.77,1.46,5.49,-4.28,5.91,0.81
19741001,16.1,-6.85,-9.99,-0.03,-2.94,0.51
19741101,-4.51,-1.44,-0.16,-3.39,2.95,0.54
19741201,-3.45,-4.36,0,-0.65,3.23,0.7
19750101,13.66,12.79,8.44,-0.89,-0.86,0.58
19750201,5.56,-0.65,-4.56,1.15,-2.14,0.43
19750301,2.66,3.98,2.49,1.23,-1.25,0.41
19750401,4.23,-0.59,-1.11,1.37,-1.35,0.44
19750501,5.19,2.89,-4.02,-1.05,-0.61,0.44
19750601,4.83,1.32,1.32,-2.62,1.06,0.41
19750701,-6.59,3.42,1.7,0.43,1.19,0.48
19750801,-2.85,-2.79,-0.9,1.03,-0.89,0.48
19750901,-4.26,0.02,0.34,0.53,0.5,0.53
19751001,5.31,-4.23,0.3,-0.46,2.27,0.56
19751101,2.64,-1.07,1.99,-0.62,1.71,0.41
19751201,-1.6,-0.03,1.76,-0.12,0.6,0.48
19760101,12.16,6.35,8.58,-1.9,2.36,0.47
19760201,0.32,7.97,5.78,-2.58,3.84,0.34
19760301,2.32,-1.34,-0.04,-0.38,1.09,0.4
19760401,-1.49,0.14,-0.06,0.39,-1.1,0.42
19760501,-1.34,-1.12,-1.32,2.47,-1.42,0.37
19760601,4.05,-1.13,0.68,-0.59,0.93,0.43
19760701,-1.07,0.62,1.74,-1.09,0.29,0.47
19760801,-0.56,-2.03,0.79,-0.46,-0.59,0.42
19760901,2.07,0.12,-0.29,0.99,-1.14,0.44
19761001,-2.42,0.16,-0.13,-0.22,-0.31,0.41
19761101,0.36,2.65,1.51,-1.39,0.08,0.4
19761201,5.65,3.61,2.22,-0.62,2.23,0.4
19770101,-4.05,5.9,4.26,-0.53,1.93,0.36
19770201,-1.94,1.11,0.5,-0.13,-0.19,0.35
19770301,-1.37,1.29,1.02,-0.32,-0.09,0.38
19770401,0.15,0.59,3.45,-2.03,1.16,0.38
19770501,-1.45,1.28,0.84,0.33,0.11,0.37
19770601,4.71,2.07,-0.64,0.88,-1.22,0.4
19770701,-1.69,1.82,-0.59,0.83,0.01,0.42
19770801,-1.75,0.89,-2.79,0.96,-0.62,0.44
19770901,-0.27,1.56,-0.49,1.23,-0.84,0.43
19771001,-4.38,1.5,1.72,-0.3,-0.46,0.49
19771101,4,3.62,0.31,-0.05,0.65,0.5
19771201,0.27,1.6,-0.37,0.94,-0.65,0.49
19780101,-6.01,2.69,3.31,-1.67,1.53,0.49
19780201,-1.38,3.67,0.76,0.36,1.04,0.46
19780301,2.85,3.72,1.2,-0.6,1.88,0.53
19780401,7.88,-0.31,-3.54,2.82,-1.35,0.54
19780501,1.76,4.56,-0.62,0.27,0.36,0.51
19780601,-1.69,1.59,0.59,-1.44,-0.02,0.54
19780701,5.11,0.15,-1.11,1.58,-0.78,0.56
19780801,3.75,4.93,-0.46,1.39,0.42,0.56
19780901,-1.43,-0.28,1.87,-0.68,1.8,0.62
19781001,-11.91,-10.05,1.36,0.17,1.03,0.68
19781101,2.71,2.85,-2.22,1.09,-1.21,0.7
19781201,0.88,1.07,-2.19,1.96,-1.38,0.78
19790101,4.23,3.84,2.27,-2.5,1.57,0.77
19790201,-3.56,0.55,1.2,-1.14,1.04,0.73
19790301,5.68,3.16,-0.67,0.62,0.28,0.81
19790401,-0.06,2.4,1.05,1.05,0.21,0.8
19790501,-2.21,0.5,1.92,-0.88,-0.84,0.82
19790601,3.85,0.99,1.48,-1.61,-0.45,0.81
19790701,0.82,1.24,1.7,-0.2,0.59,0.77
19790801,5.53,1.97,-1.55,1.58,-1.45,0.77
19790901,-0.82,-0.27,-0.87,1.02,0.54,0.83
19791001,-8.1,-3.46,-1.86,1.04,0.24,0.87
19791101,5.21,2.44,-3.25,0.11,-2,0.99
19791201,1.79,4.34,-1.98,-0.67,-1.01,0.95
19800101,5.51,1.9,1.8,-1.67,2.01,0.8
19800201,-1.22,-1.49,0.62,0.11,3.04,0.89
19800301,-12.9,-6.97,-1.06,1.38,-1.34,1.21
19800401,3.97,1,1.06,-2.09,0.54,1.26
19800501,5.26,2.1,0.39,0.31,-0.47,0.81
19800601,3.06,1.47,-0.89,-0.09,-0.95,0.61
19800701,6.49,3.93,-6.3,3.94,-2.46,0.53
19800801,1.8,4.26,-2.64,2.1,-0.8,0.64
19800901,2.19,0.58,-4.79,2.03,-2.81,0.75
19801001,1.06,2.33,-2.74,1.67,-1.22,0.95
19801101,9.59,-3.4,-8.35,4.53,-5.74,0.96
19801201,-4.52,-0.31,2.68,-1.25,1.18,1.31
19810101,-5.04,3.37,6.84,-3.54,4.35,1.04
19810201,0.57,-0.49,0.97,0.19,2.25,1.07
19810301,3.56,3.08,0.67,-2.34,-0.53,1.21
19810401,-2.11,4.6,2.26,0.82,1.2,1.08
19810501,0.11,2.45,-0.43,0.33,-1.6,1.15
19810601,-2.36,-0.97,5.13,-1.35,2.68,1.35
19810701,-1.54,-1.97,-0.66,1.08,-3.04,1.24
19810801,-7.04,-1.81,4.84,-0.25,1.46,1.28
19810901,-7.17,-2.49,5.2,-0.02,2.79,1.24
19811001,4.92,2.24,-4.21,3.29,-2.76,1.21
19811101,3.36,-1.38,1.9,0.1,0.63,1.07
19811201,-3.65,1.19,0.74,0.19,2.41,0.87
19820101,-3.24,-1.18,3.17,-1.52,2.08,0.8
19820201,-5.86,0.37,6.1,-3.38,4.57,0.92
19820301,-1.87,0,3.78,-1.44,2.37,0.98
19820401,3.27,1.15,-2.78,1.51,-0.15,1.13
19820501,-3.99,0.56,1.81,0.91,-0.09,1.06
19820601,-3.09,-0.51,1.54,0.03,2.72,0.96
19820701,-3.19,0.95,0.15,1.03,1.54,1.05
19820801,11.14,-4.29,1.16,-1.96,0.18,0.76
19820901,1.29,2.57,0.34,2.12,-0.04,0.51
19821001,11.3,1.92,-3.68,0.3,-0.37,0.59
19821101,4.67,4.53,-1.96,-1.05,0.32,0.63
19821201,0.55,-0.01,0.01,-0.07,1.03,0.67
19830101,3.6,3.28,-0.86,-1.5,-0.46,0.69
19830201,2.59,2.9,0.67,-0.57,1.02,0.62
19830301,2.82,1.42,2.07,-0.07,2.81,0.63
19830401,6.67,0.49,0.6,-0.16,1.6,0.71
19830501,0.52,6.22,-1.4,-1.85,-1.53,0.69
19830601,3.07,1.15,-3.87,2.52,-0.89,0.67
19830701,-4.07,0.98,5.62,-0.03,2.84,0.74
19830801,-0.5,-4.34,5.55,0.45,1.95,0.76
19830901,0.91,0.25,1.09,1.21,0.59,0.76
19831001,-3.44,-3.82,5.06,-0.81,2.97,0.76
19831101,2.16,1.88,-0.62,-0.48,0.64,0.7
19831201,-1.78,-0.47,1.67,1.59,1.21,0.73
19840101,-1.92,-0.07,7.63,-0.93,3,0.76
19840201,-4.82,-1.62,3.36,0.82,1.57,0.71
19840301,0.63,-0.28,0.48,-0.93,1.09,0.73
19840401,-0.51,-1.01,1.29,3.27,0.76,0.81
19840501,-5.97,0.08,0.26,2.32,-0.5,0.78
19840601,1.82,0.07,-2.6,3.08,-1.51,0.75
19840701,-2.74,-2.22,0.49,3.69,-2.17,0.82
19840801,10.28,-0.3,-1.85,-0.89,-0.81,0.83
19840901,-0.8,0,5.32,1.4,2.53,0.86
19841001,-0.84,-1.43,0.51,1.17,-1.16,1
19841101,-1.76,-0.98,4.08,0.81,2.08,0.73
19841201,1.84,-0.69,-0.17,1.21,-1.26,0.64
19850101,7.99,3.49,-5.43,-0.83,-3.36,0.65
19850201,1.22,1,-0.12,1.26,1.03,0.58
19850301,-0.84,-1.48,4.1,1.18,2.94,0.62
19850401,-0.96,-0.1,3.73,1.59,0.71,0.72
19850501,5.09,-2.33,-0.86,1.3,-1.39,0.66
19850601,1.27,0.48,0.7,1.5,-0.59,0.55
19850701,-0.74,2.89,-1.63,-0.45,-0.31,0.62
19850801,-1.02,-0.32,2.28,-0.04,1.88,0.55
19850901,-4.54,-1.81,1.32,1.16,1.61,0.6
19851001,4.02,-1.55,0.78,0.92,-1.11,0.65
19851101,6.48,0,-2.87,0.29,-2.33,0.61
19851201,3.88,-0.39,-1.53,0.97,-1.8,0.65
19860101,0.65,1.01,0.53,-2.02,-2.05,0.56
19860201,7.13,-0.76,-0.94,1.15,-1.39,0.53
19860301,4.88,-0.57,-0.44,1.12,0.99,0.6
19860401,-1.31,2.92,-2.85,2.91,0.02,0.52
19860501,4.62,-1.26,-0.11,2.08,1.11,0.49
19860601,1.03,-0.87,1.4,1.83,0.87,0.52
19860701,-6.45,-3.54,4.78,-0.57,0.61,0.52
19860801,6.07,-4.36,3.52,-1.74,3.24,0.46
19860901,-8.6,1.97,3.19,-0.05,3.62,0.45
19861001,4.66,-2.33,-1.32,0.13,0.89,0.46
19861101,1.17,-1.88,-0.06,1.12,0.61,0.39
19861201,-3.27,0.07,0.37,0.83,-0.03,0.49
19870101,12.47,-1.51,-3.18,0.2,-1.09,0.42
19870201,4.39,3.41,-5.99,-0.9,-2.76,0.43
19870301,1.64,0.21,1.66,1.36,4.03,0.47
19870401,-2.11,-1.55,-0.33,-0.46,1.22,0.44
19870501,0.11,-0.59,0.13,0.52,1.32,0.38
19870601,3.94,-2.29,1.07,1.73,0.83,0.48
19870701,3.85,-1.11,0.66,-0.5,1.56,0.46
19870801,3.52,-0.9,-0.9,2.03,-1.59,0.47
19870901,-2.59,0.37,0.28,-0.9,1.89,0.45
19871001,-23.24,-8.09,4.23,2.01,2.39,0.6
19871101,-7.77,2.83,3.14,-1.92,0.71,0.35
19871201,6.81,0.09,-4.49,3.01,-2.36,0.39
19880101,4.21,-0.54,5.08,-1.12,2.09,0.29
19880201,4.75,3.32,-1.65,1.56,-0.11,0.46
19880301,-2.27,6.26,0.74,-0.16,1.91,0.44
19880401,0.56,1.12,1.69,-0.23,1.9,0.46
19880501,-0.29,-2.59,2.3,-0.7,0.38,0.51
19880601,4.79,2.19,-1.07,1.42,-3.25,0.49
19880701,-1.25,-0.17,2.27,-0.59,1.45,0.51
19880801,-3.31,-0.02,2.03,-0.76,1.74,0.59
19880901,3.3,-1.31,-0.68,1.72,-0.48,0.62
19881001,1.15,-2.95,1.71,1.4,1.04,0.61
19881101,-2.29,-1.66,1.24,-0.31,1.6,0.57
19881201,1.49,2.01,-1.55,0.64,-0.37,0.63
19890101,6.1,-2.23,0.51,-1.03,0.16,0.55
19890201,-2.25,2.67,0.87,-0.82,1.89,0.61
19890301,1.57,0.76,0.46,0.01,0.79,0.67
19890401,4.33,-0.7,-1.45,0.76,-0.54,0.67
19890501,3.35,-0.01,-0.82,0.49,-0.04,0.79
19890601,-1.35,-1.08,2.19,0.24,1.52,0.71
19890701,7.2,-4.04,-2.84,1.99,-0.62,0.7
19890801,1.44,0.43,0.72,0.41,-0.5,0.74
19890901,-0.76,0.46,-1.34,1.4,0.59,0.65
19891001,-3.67,-3.33,-1.03,0,0.02,0.68
19891101,1.03,-1.3,-1.12,-0.91,1.47,0.69
19891201,1.16,-2.3,0.28,-0.1,1.45,0.61
19900101,-7.85,-1.33,0.87,-1.13,1.32,0.57
19900201,1.11,1.18,0.61,-0.19,-0.64,0.57
19900301,1.83,1.64,-2.9,2.15,-1.02,0.64
19900401,-3.36,-0.4,-2.55,1.72,-0.98,0.69
19900501,8.42,-2.4,-3.74,1.65,-1.57,0.68
19900601,-1.09,1.38,-1.94,-1,-0.34,0.63
19900701,-1.9,-3.27,-0.01,-0.27,3.1,0.68
19900801,-10.15,-3.85,1.58,-0.43,2.99,0.66
19900901,-6.12,-3.78,0.73,-0.16,3.71,0.6
19901001,-1.92,-5.07,0.22,2.87,-0.49,0.68
19901101,6.35,-0.06,-3.16,0.82,-4.75,0.57
19901201,2.46,0.61,-1.54,2.86,-2,0.6
19910101,4.69,3.86,-1.84,1.55,-4.08,0.52
19910201,7.19,3.96,-0.54,-0.27,-0.16,0.48
19910301,2.65,3.82,-1.23,-0.39,-0.99,0.44
19910401,-0.28,0.33,1.42,0.53,0.71,0.53
19910501,3.65,0.17,-0.57,2.11,-2.45,0.47
19910601,-4.94,0.17,1.21,1.75,0.63,0.42
19910701,4.24,-0.96,-1.25,1.61,-1.41,0.49
19910801,2.32,1.44,-0.78,0.88,-0.55,0.46
19910901,-1.59,1.55,-1,-1.81,0.16,0.46
19911001,1.29,0.95,-0.43,-1.73,-0.29,0.42
19911101,-4.19,-0.87,-1.93,1.08,0.12,0.39
19911201,10.84,-2.42,-4.03,3.58,-3.12,0.38
19920101,-0.59,9.26,4.51,-1.33,3.15,0.34
19920201,1.09,1.35,6.37,0.09,2.04,0.28
19920301,-2.66,-0.9,3.65,-0.08,1.93,0.34
19920401,1.07,-5.73,4.31,1.71,2.22,0.32
19920501,0.3,0.21,1.28,-0.96,0.43,0.28
19920601,-2.34,-2.71,3.4,-0.03,1.07,0.32
19920701,3.77,-0.61,-0.53,1.56,-0.72,0.31
19920801,-2.38,-0.42,-1.03,3.79,-1.62,0.26
19920901,1.19,0.48,-0.21,1.54,-0.5,0.26
19921001,1.02,2.02,-2.1,1.31,-0.8,0.23
19921101,4.13,3.91,-1.48,-0.84,-1.91,0.23
19921201,1.53,1.64,2.52,-0.44,0.75,0.28
19930101,0.93,2.09,5.87,-1.77,2.78,0.23
19930201,0.12,-3.42,6.42,-0.5,4.05,0.22
19930301,2.3,0.05,1.22,-0.29,0.92,0.25
19930401,-3.05,-0.86,2.61,-3.69,1.52,0.24
19930501,2.89,1.88,-3.41,-0.01,-1.18,0.22
19930601,0.31,0.11,2.62,-1.06,1.09,0.25
19930701,-0.34,0.9,3.24,-2.18,2.02,0.24
19930801,3.71,0.25,-0.45,-1.16,-0.03,0.25
19930901,-0.12,3.07,-0.45,0.77,-0.09,0.26
19931001,1.41,1.61,-1.54,-0.1,0.6,0.22
19931101,-1.89,-1.43,-0.27,1.55,-0.96,0.25
19931201,1.65,1.36,0.57,0.7,-0.3,0.23
19940101,2.87,-0.15,2.09,-2.28,1.47,0.25
19940201,-2.55,2.65,-1.44,2.45,-1.05,0.21
19940301,-4.78,-1.02,1.31,0.77,1.25,0.27
19940401,0.68,-1.05,1.68,1.01,1.12,0.27
19940501,0.58,-2.47,0.2,0.9,0.71,0.31
19940601,-3.03,-0.52,1.7,1.16,1.51,0.31
19940701,2.82,-1.84,0.59,-0.88,0.14,0.28
19940801,4.01,1.28,-2.82,0.87,-1.45,0.37
19940901,-2.31,2.66,-1.9,0.61,0.95,0.37
19941001,1.34,-2.29,-1.73,0.58,-0.64,0.38
19941101,-4.04,0.12,-0.94,0.8,-0.45,0.37
19941201,0.86,-0.02,0.55,0.42,0.31,0.44
19950101,1.8,-2.76,0.83,0.61,-0.84,0.42
19950201,3.63,-0.55,1.08,0.58,-0.33,0.4
19950301,2.19,-0.73,-1.07,-0.33,0.19,0.46
19950401,2.11,-0.34,2.26,0.05,1.01,0.44
19950501,2.9,-2.06,1.69,0.46,0.09,0.54
19950601,2.72,2.95,-2.27,-0.48,-2.43,0.47
19950701,3.72,2.1,-1.68,0.51,-1.71,0.45
19950801,0.55,1.84,2.71,-1.38,1.64,0.47
19950901,3.35,-1.88,-0.76,1.31,0.36,0.43
19951001,-1.52,-4.04,-0.75,2.17,-0.04,0.47
19951101,3.96,-1.17,0.94,-0.83,1.19,0.42
19951201,1.03,0.67,0.86,-1.32,2.99,0.49
19960101,2.26,-2.59,0.3,-0.63,2.28,0.43
19960201,1.33,1.82,-1.42,0.4,-1.8,0.39
19960301,0.73,1.54,1,1.3,-0.97,0.39
19960401,2.06,4.64,-3.9,0.17,-2.2,0.46
19960501,2.36,3.17,-1.2,0.43,-0.22,0.42
19960601,-1.14,-3.47,1.56,3.47,1.08,0.4
19960701,-5.97,-3.68,4.45,2.84,2.6,0.45
19960801,2.77,2.54,-0.46,-0.3,-2.43,0.41
19960901,5.01,-1.32,-3.14,1.51,-2.18,0.44
19961001,0.86,-3.89,5.12,1.32,2.97,0.42
19961101,6.25,-3.79,1.16,2.01,-0.73,0.41
19961201,-1.7,3.22,0.9,0.57,1.51,0.46
19970101,4.98,-1.82,-1.64,1.27,-0.27,0.45
19970201,-0.49,-2.52,5.19,0.73,3.4,0.39
19970301,-5.02,-0.48,3.81,0.35,1.67,0.43
19970401,4.04,-5.74,-0.07,3.29,-0.91,0.43
19970501,6.74,4.65,-3.87,-0.98,-2.9,0.49
19970601,4.1,1.26,1.23,1.02,0.54,0.37
19970701,7.33,-2.83,0.84,-0.24,-2.54,0.43
19970801,-4.15,7.66,1.38,-0.94,-0.03,0.41
19970901,5.35,2.56,0.02,-1.39,-0.91,0.44
19971001,-3.8,-0.5,1.96,1.09,1.89,0.42
19971101,2.98,-5.03,0.78,3.07,1.66,0.39
19971201,1.32,-2.01,3.46,1.18,1.91,0.48
19980101,0.15,-1.4,-1.45,0.46,-0.83,0.43
19980201,7.04,-0.02,-0.13,-0.87,-2.42,0.39
19980301,4.76,-0.66,1.06,-1.02,-0.48,0.39
19980401,0.73,-0.01,0.74,-2.13,-0.23,0.43
19980501,-3.07,-3.11,4.16,0.97,2.54,0.4
19980601,3.18,-3.67,-2.32,-0.52,-2.91,0.41
19980701,-2.46,-5.32,-0.97,1.82,0.45,0.4
19980801,-16.08,-5.01,3.41,3.48,5.84,0.43
19980901,6.15,-0.82,-3.31,-1.52,-2.9,0.46
19981001,7.13,-3.53,-2.2,0.59,0.27,0.32
19981101,6.1,0.65,-3.14,-1.25,-1.15,0.31
19981201,6.16,-1.5,-4.46,-0.75,-3.35,0.38
19990101,3.5,-0.75,-4.03,-2.69,-6.88,0.35
19990201,-4.08,-5.15,1.4,-1.71,4.09,0.35
19990301,3.45,-4.3,-2.64,-4.2,-1.38,0.43
19990401,4.33,4.65,2.51,-2.42,0.92,0.37
19990501,-2.46,3.73,2.4,1.09,3.34,0.34
19990601,4.77,2.26,-3.59,1.32,-3.39,0.4
19990701,-3.49,2.53,-0.76,0.48,3.11,0.38
19990801,-1.38,-1.93,-1.31,-0.29,0.31,0.39
19990901,-2.79,2.56,-3.4,-0.74,-1.06,0.39
19991001,6.12,-7.08,-2.88,-1.71,-1.25,0.39
19991101,3.37,5.9,-6.51,-3.85,-1.58,0.36
19991201,7.72,5.41,-8.74,-7.9,-5.29,0.44
20000101,-4.74,4.16,-0.29,-6.05,4.73,0.41
20000201,2.45,18.32,-9.93,-18.33,-0.5,0.43
20000301,5.2,-14.91,7.37,11.67,-1.05,0.47
20000401,-6.4,-5.55,8.61,7.54,5.27,0.46
20000501,-4.42,-3.67,2.56,4.63,0.74,0.5
20000601,4.64,10.39,-9.86,-6.82,-3.07,0.4
20000701,-2.51,-0.97,8.14,5.98,3,0.48
20000801,7.03,-1.1,-0.68,-3.06,0.61,0.5
20000901,-5.45,0.21,6.24,3.07,6.38,0.51
20001001,-2.76,-2.8,5.52,9.65,4.7,0.56
20001101,-10.72,-0.46,11.3,13.31,8.51,0.51
20001201,1.19,3.16,7.33,1.83,5.72,0.5
20010101,3.13,5.81,-4.9,-4.43,-6.54,0.54
20010201,-10.05,2.66,12.9,9,9.58,0.38
20010301,-7.26,2.31,6.45,3.38,3.95,0.42
20010401,7.94,-0.64,-4.69,-2.71,-3.97,0.39
20010501,0.72,3.58,3.14,0.18,2.19,0.32
20010601,-1.94,6.62,-1.06,2.04,-1.8,0.28
20010701,-2.13,-2.91,5.58,7.17,3,0.3
20010801,-6.46,2.72,2.5,3.95,6.5,0.31
20010901,-9.25,-5.69,1.6,4.93,3.28,0.28
20011001,2.46,5.41,-8.1,-2.62,-4.6,0.22
20011101,7.54,-0.31,2,-3.76,-1.66,0.17
20011201,1.61,5.13,1.1,0.31,-0.32,0.15
20020101,-1.44,1.19,3.33,4.36,2.84,0.14
20020201,-2.29,-0.47,2.5,7.62,5.14,0.13
20020301,4.24,4.27,1.11,-1.35,0.58,0.13
